id,departure_city,destination_city,bus_plate,travel_datetime,price,bus_type,available_seats
25,Diyarbakir,Antalya,70 AGS 056,5/20/2026,854.94,2+2 Classic,"1,5,8,12,24"
26,Adana,Istanbul,52 LJC 087,4/17/2026,570.2,2+2 Classic,"1,5,8,12,24"
27,Konya,Adana,30 MJT 091,3/17/2026,1108.92,2+2 Classic,"1,5,8,12,24"
28,Antalya,Gaziantep,79 WIX 945,2/11/2026,1142.7,2+2 Classic,"1,5,8,12,24"
29,Izmir,Izmir,48 QTN 766,8/6/2026,744.76,2+2 Classic,"1,5,8,12,24"
30,Konya,Antalya,45 OTD 829,10/4/2026,512.08,2+2 Classic,"1,5,8,12,24"
31,Konya,Mersin,17 GNQ 427,5/17/2026,968.21,2+2 Classic,"1,5,8,12,24"
32,Mersin,Istanbul,34 QTR 681,12/4/2026,441.71,2+1 VIP,"1,5,8,12,24"
33,Adana,Mersin,16 QHT 615,3/10/2026,1042.05,2+1 VIP,"1,5,8,12,24"
34,Izmir,Adana,88 WYS 809,5/31/2026,897.87,2+1 VIP,"1,5,8,12,24"
35,Adana,Adana,35 GGY 521,8/3/2026,963.96,2+1 VIP,"1,5,8,12,24"
36,Istanbul,Mersin,16 CER 050,8/31/2026,823.1,2+1 VIP,"1,5,8,12,24"
37,Antalya,Bursa,41 WFV 748,3/9/2026,569.41,2+1 VIP,"1,5,8,12,24"
38,Antalya,Adana,48 JAF 137,10/7/2026,790.59,2+2 Classic,"1,5,8,12,24"
39,Ankara,Ankara,72 DIN 855,11/11/2026,1171.05,2+1 VIP,"1,5,8,12,24"
40,Izmir,Diyarbakir,90 EUC 682,9/3/2026,945.43,2+2 Classic,"1,5,8,12,24"
41,Diyarbakir,Antalya,16 RTW 525,1/30/2026,652.4,2+2 Classic,"1,5,8,12,24"
42,Adana,Mersin,87 RYW 233,6/19/2026,1174.48,2+1 VIP,"1,5,8,12,24"
43,Bursa,Bursa,08 GMO 546,1/5/2026,699.33,2+1 VIP,"1,5,8,12,24"
44,Istanbul,Gaziantep,31 JMF 386,2/19/2026,1181.74,2+2 Classic,"1,5,8,12,24"
45,Istanbul,Antalya,95 UIP 868,4/28/2026,428.29,2+1 VIP,"1,5,8,12,24"
46,Adana,Bursa,91 WNR 331,7/20/2026,1182.04,2+2 Classic,"1,5,8,12,24"
47,Gaziantep,Adana,97 GFV 367,5/2/2026,953.46,2+1 VIP,"1,5,8,12,24"
48,Adana,Gaziantep,27 IPT 201,1/3/2026,1070.78,2+2 Classic,"1,5,8,12,24"
49,Bursa,Bursa,20 XMV 872,7/24/2026,579.02,2+1 VIP,"1,5,8,12,24"
50,Izmir,Konya,03 XRD 745,5/4/2026,518.52,2+2 Classic,"1,5,8,12,24"
51,Izmir,Bursa,85 CWQ 607,10/22/2026,717.9,2+1 VIP,"1,5,8,12,24"
52,Diyarbakir,Bursa,36 ADQ 114,5/25/2026,1135.31,2+2 Classic,"1,5,8,12,24"
53,Bursa,Adana,80 VKW 184,9/19/2026,555.39,2+1 VIP,"1,5,8,12,24"
54,Adana,Bursa,87 THN 091,3/4/2026,1097.8,2+2 Classic,"1,5,8,12,24"
55,Izmir,Istanbul,00 FCY 752,2/22/2026,505.5,2+1 VIP,"1,5,8,12,24"
56,Mersin,Konya,11 HGV 323,3/28/2026,725.99,2+1 VIP,"1,5,8,12,24"
57,Bursa,Konya,50 MID 495,6/4/2026,785.9,2+1 VIP,"1,5,8,12,24"
58,Gaziantep,Mersin,14 JLK 538,1/3/2026,576.02,2+1 VIP,"1,5,8,12,24"
59,Ankara,Gaziantep,95 ZDV 004,5/28/2026,568.93,2+2 Classic,"1,5,8,12,24"
60,Konya,Konya,68 FRT 506,8/8/2026,517.02,2+1 VIP,"1,5,8,12,24"
61,Izmir,Ankara,61 JJO 665,10/7/2026,956.24,2+2 Classic,"1,5,8,12,24"
62,Gaziantep,Mersin,10 GMH 902,8/15/2026,686.65,2+2 Classic,"1,5,8,12,24"
63,Mersin,Diyarbakir,66 QVL 925,10/19/2026,809.46,2+2 Classic,"1,5,8,12,24"
64,Adana,Antalya,41 XTD 440,12/10/2026,788.7,2+2 Classic,"1,5,8,12,24"
65,Diyarbakir,Izmir,31 WJC 855,8/11/2026,930.7,2+1 VIP,"1,5,8,12,24"
66,Istanbul,Konya,24 IOS 904,2/16/2026,427.55,2+1 VIP,"1,5,8,12,24"
67,Adana,Izmir,97 BUJ 195,7/9/2026,831.34,2+2 Classic,"1,5,8,12,24"
68,Antalya,Istanbul,25 RPN 484,11/25/2026,496.98,2+2 Classic,"1,5,8,12,24"
69,Adana,Mersin,03 ZSM 524,9/16/2026,459.73,2+2 Classic,"1,5,8,12,24"
70,Konya,Konya,53 IBV 799,11/14/2026,1145.28,2+1 VIP,"1,5,8,12,24"
71,Mersin,Istanbul,73 LWY 653,11/19/2026,970.2,2+1 VIP,"1,5,8,12,24"
72,Mersin,Bursa,75 WDS 540,6/12/2026,1077.9,2+2 Classic,"1,5,8,12,24"
73,Ankara,Konya,22 AIF 221,3/2/2026,897.4,2+2 Classic,"1,5,8,12,24"
74,Gaziantep,Konya,68 OOQ 556,10/21/2026,995.36,2+1 VIP,"1,5,8,12,24"
75,Mersin,Izmir,89 LSQ 998,6/20/2026,401.47,2+2 Classic,"1,5,8,12,24"
76,Ankara,Mersin,59 ZMW 515,10/6/2026,959.52,2+1 VIP,"1,5,8,12,24"
77,Istanbul,Diyarbakir,10 NYV 354,3/31/2026,955.35,2+2 Classic,"1,5,8,12,24"
78,Mersin,Mersin,68 COW 451,8/9/2026,660.91,2+2 Classic,"1,5,8,12,24"
79,Diyarbakir,Antalya,50 PUV 595,11/11/2026,1001.17,2+2 Classic,"1,5,8,12,24"
80,Izmir,Konya,92 VUU 597,8/31/2026,1129.72,2+2 Classic,"1,5,8,12,24"
81,Antalya,Izmir,01 TEO 493,1/10/2026,591.15,2+2 Classic,"1,5,8,12,24"
82,Istanbul,Bursa,43 ZQF 636,7/22/2026,998.97,2+2 Classic,"1,5,8,12,24"
83,Bursa,Ankara,49 ZNK 438,1/24/2026,592.15,2+1 VIP,"1,5,8,12,24"
84,Konya,Antalya,06 GGS 607,4/26/2026,504.86,2+1 VIP,"1,5,8,12,24"
85,Adana,Izmir,21 LGH 015,8/15/2026,711.42,2+1 VIP,"1,5,8,12,24"
86,Mersin,Istanbul,47 UFE 972,8/3/2026,504.29,2+2 Classic,"1,5,8,12,24"
87,Istanbul,Bursa,30 CDK 745,6/30/2026,743.67,2+2 Classic,"1,5,8,12,24"
88,Izmir,Mersin,57 KTM 165,1/14/2026,649.85,2+1 VIP,"1,5,8,12,24"
89,Konya,Gaziantep,11 VDP 635,10/7/2026,692.29,2+1 VIP,"1,5,8,12,24"
90,Mersin,Antalya,28 VJH 239,12/6/2026,925.39,2+1 VIP,"1,5,8,12,24"
91,Mersin,Mersin,21 ANA 033,10/26/2026,406.04,2+1 VIP,"1,5,8,12,24"
92,Mersin,Istanbul,74 ASC 767,9/22/2026,878.79,2+1 VIP,"1,5,8,12,24"
93,Mersin,Mersin,81 JFO 718,10/30/2026,832.71,2+1 VIP,"1,5,8,12,24"
94,Antalya,Adana,66 CJD 708,6/7/2026,626.93,2+2 Classic,"1,5,8,12,24"
95,Adana,Mersin,15 UQW 471,3/12/2026,519.79,2+2 Classic,"1,5,8,12,24"
96,Antalya,Adana,86 OTZ 262,1/9/2026,894.23,2+2 Classic,"1,5,8,12,24"
97,Antalya,Diyarbakir,59 BLM 020,12/18/2026,930.18,2+1 VIP,"1,5,8,12,24"
98,Adana,Istanbul,32 HMT 657,10/13/2026,1102.03,2+1 VIP,"1,5,8,12,24"
99,Ankara,Diyarbakir,21 HUK 352,6/27/2026,426.79,2+1 VIP,"1,5,8,12,24"
100,Adana,Gaziantep,58 NKH 608,1/3/2026,1149.5,2+1 VIP,"1,5,8,12,24"
101,Antalya,Izmir,47 CSW 894,8/25/2026,1074.8,2+1 VIP,"1,5,8,12,24"
102,Mersin,Konya,08 JGW 821,8/31/2026,901.68,2+2 Classic,"1,5,8,12,24"
103,Konya,Gaziantep,59 TWT 470,12/22/2026,716.91,2+2 Classic,"1,5,8,12,24"
104,Adana,Konya,09 UNL 556,10/30/2026,923.67,2+2 Classic,"1,5,8,12,24"
105,Adana,Istanbul,82 OVR 981,9/26/2026,1115.21,2+2 Classic,"1,5,8,12,24"
106,Istanbul,Bursa,32 WLY 484,7/26/2026,781.35,2+2 Classic,"1,5,8,12,24"
107,Izmir,Adana,22 UQW 706,8/17/2026,663.55,2+1 VIP,"1,5,8,12,24"
108,Antalya,Antalya,66 YEL 482,9/22/2026,966.25,2+2 Classic,"1,5,8,12,24"
109,Diyarbakir,Bursa,54 COB 854,7/7/2026,444.11,2+2 Classic,"1,5,8,12,24"
110,Konya,Adana,64 DBQ 259,1/6/2026,963.44,2+2 Classic,"1,5,8,12,24"
111,Ankara,Mersin,39 QQQ 049,9/21/2026,610.98,2+2 Classic,"1,5,8,12,24"
112,Diyarbakir,Bursa,65 TYC 445,2/11/2026,687.26,2+2 Classic,"1,5,8,12,24"
113,Bursa,Mersin,00 LHC 820,12/4/2026,1070.82,2+2 Classic,"1,5,8,12,24"
114,Konya,Adana,12 TUK 621,3/18/2026,494.05,2+2 Classic,"1,5,8,12,24"
115,Diyarbakir,Mersin,05 WHN 239,7/16/2026,558.11,2+1 VIP,"1,5,8,12,24"
116,Adana,Ankara,33 GKG 545,6/9/2026,502.72,2+1 VIP,"1,5,8,12,24"
117,Istanbul,Diyarbakir,30 SEL 114,7/30/2026,528.82,2+2 Classic,"1,5,8,12,24"
118,Konya,Istanbul,76 HPQ 439,6/24/2026,956.41,2+2 Classic,"1,5,8,12,24"
119,Gaziantep,Istanbul,38 ZJS 211,5/24/2026,1006.86,2+2 Classic,"1,5,8,12,24"
120,Mersin,Gaziantep,17 QJY 489,9/20/2026,428.89,2+2 Classic,"1,5,8,12,24"
121,Gaziantep,Mersin,68 GTV 316,3/14/2026,741.35,2+1 VIP,"1,5,8,12,24"
122,Istanbul,Bursa,24 KHL 275,5/27/2026,644.64,2+1 VIP,"1,5,8,12,24"
123,Antalya,Diyarbakir,16 DBH 753,9/18/2026,794.4,2+2 Classic,"1,5,8,12,24"
124,Antalya,Antalya,89 SER 319,3/19/2026,1155.11,2+1 VIP,"1,5,8,12,24"
125,Istanbul,Istanbul,21 XGF 131,12/18/2026,682.1,2+2 Classic,"1,5,8,12,24"
126,Bursa,Istanbul,67 XRA 809,8/3/2026,632.67,2+2 Classic,"1,5,8,12,24"
127,Mersin,Bursa,78 CQJ 898,8/28/2026,569.4,2+2 Classic,"1,5,8,12,24"
128,Gaziantep,Bursa,58 JAE 779,3/15/2026,444.59,2+1 VIP,"1,5,8,12,24"
129,Diyarbakir,Gaziantep,36 QFF 576,5/28/2026,530.42,2+2 Classic,"1,5,8,12,24"
130,Gaziantep,Mersin,72 MSM 525,12/13/2026,797.77,2+2 Classic,"1,5,8,12,24"
131,Diyarbakir,Konya,16 JLE 592,4/14/2026,1031.97,2+1 VIP,"1,5,8,12,24"
132,Bursa,Istanbul,98 FKR 926,2/6/2026,1110.76,2+1 VIP,"1,5,8,12,24"
133,Ankara,Antalya,85 EID 564,8/24/2026,949.34,2+2 Classic,"1,5,8,12,24"
134,Bursa,Antalya,19 QYL 781,6/17/2026,1199.64,2+2 Classic,"1,5,8,12,24"
135,Gaziantep,Ankara,72 HUB 838,1/1/2026,863.81,2+2 Classic,"1,5,8,12,24"
136,Adana,Gaziantep,67 XIC 139,4/8/2026,1083.07,2+1 VIP,"1,5,8,12,24"
137,Adana,Antalya,50 UAK 238,7/16/2026,1088.11,2+2 Classic,"1,5,8,12,24"
138,Ankara,Diyarbakir,72 CWC 007,6/23/2026,405.6,2+2 Classic,"1,5,8,12,24"
139,Ankara,Izmir,71 CLS 069,12/29/2026,1114.93,2+2 Classic,"1,5,8,12,24"
140,Konya,Antalya,21 HBA 797,12/11/2026,935.94,2+2 Classic,"1,5,8,12,24"
141,Diyarbakir,Diyarbakir,52 FNA 525,9/15/2026,684.17,2+1 VIP,"1,5,8,12,24"
142,Istanbul,Diyarbakir,92 JZJ 268,11/2/2026,617.12,2+2 Classic,"1,5,8,12,24"
143,Mersin,Istanbul,58 EJX 306,1/23/2026,593.43,2+1 VIP,"1,5,8,12,24"
144,Konya,Antalya,01 DHP 177,2/6/2026,727.43,2+1 VIP,"1,5,8,12,24"
145,Konya,Antalya,80 IRF 255,1/1/2026,780.43,2+2 Classic,"1,5,8,12,24"
146,Antalya,Mersin,22 CPH 401,8/21/2026,679.33,2+2 Classic,"1,5,8,12,24"
147,Adana,Izmir,31 KTP 447,3/25/2026,488.5,2+1 VIP,"1,5,8,12,24"
148,Istanbul,Gaziantep,86 ZBR 309,10/25/2026,1152.51,2+1 VIP,"1,5,8,12,24"
149,Antalya,Bursa,44 BHP 024,10/21/2026,1002.6,2+1 VIP,"1,5,8,12,24"
150,Bursa,Antalya,89 GSG 931,4/25/2026,957.88,2+1 VIP,"1,5,8,12,24"
151,Bursa,Bursa,73 NPL 713,5/4/2026,749.44,2+1 VIP,"1,5,8,12,24"
152,Gaziantep,Istanbul,44 OWY 314,6/23/2026,789.93,2+1 VIP,"1,5,8,12,24"
153,Gaziantep,Bursa,47 YEK 173,7/4/2026,744.9,2+2 Classic,"1,5,8,12,24"
154,Ankara,Ankara,77 AKR 921,11/4/2026,476.52,2+1 VIP,"1,5,8,12,24"
155,Istanbul,Bursa,37 ANH 113,4/1/2026,628.41,2+1 VIP,"1,5,8,12,24"
156,Diyarbakir,Adana,58 UUU 358,1/9/2026,439.94,2+1 VIP,"1,5,8,12,24"
157,Diyarbakir,Ankara,17 DNW 547,5/18/2026,1111.22,2+2 Classic,"1,5,8,12,24"
158,Izmir,Gaziantep,77 MTG 913,12/15/2026,542.58,2+1 VIP,"1,5,8,12,24"
159,Mersin,Diyarbakir,26 XNS 434,10/4/2026,607.86,2+1 VIP,"1,5,8,12,24"
160,Gaziantep,Ankara,92 CDC 648,2/1/2026,611.05,2+1 VIP,"1,5,8,12,24"
161,Mersin,Diyarbakir,20 SNX 304,7/12/2026,1065.03,2+1 VIP,"1,5,8,12,24"
162,Mersin,Istanbul,81 ALI 879,9/1/2026,1124.93,2+1 VIP,"1,5,8,12,24"
163,Izmir,Izmir,85 IZI 203,10/24/2026,855.28,2+2 Classic,"1,5,8,12,24"
164,Ankara,Istanbul,99 VYL 636,11/5/2026,1001.73,2+2 Classic,"1,5,8,12,24"
165,Izmir,Mersin,85 XAO 147,4/14/2026,462.4,2+2 Classic,"1,5,8,12,24"
166,Antalya,Bursa,28 KCH 075,2/14/2026,405.82,2+1 VIP,"1,5,8,12,24"
167,Konya,Mersin,29 ICR 734,1/10/2026,1180.47,2+1 VIP,"1,5,8,12,24"
168,Diyarbakir,Istanbul,15 NZY 231,12/25/2026,686.55,2+2 Classic,"1,5,8,12,24"
169,Antalya,Antalya,29 VAL 705,5/4/2026,947.3,2+1 VIP,"1,5,8,12,24"
170,Antalya,Gaziantep,58 OJA 344,1/1/2026,749.82,2+2 Classic,"1,5,8,12,24"
171,Izmir,Mersin,65 RFV 064,12/10/2026,455.15,2+2 Classic,"1,5,8,12,24"
172,Adana,Diyarbakir,78 KSF 487,7/14/2026,1140.6,2+1 VIP,"1,5,8,12,24"
173,Gaziantep,Adana,77 PXR 544,8/25/2026,832.46,2+2 Classic,"1,5,8,12,24"
174,Istanbul,Ankara,32 OYE 398,10/13/2026,674.67,2+2 Classic,"1,5,8,12,24"
175,Ankara,Konya,25 RAC 171,1/24/2026,659.05,2+2 Classic,"1,5,8,12,24"
176,Ankara,Adana,69 DND 886,8/29/2026,752.19,2+2 Classic,"1,5,8,12,24"
177,Antalya,Ankara,08 FWN 619,11/2/2026,713.26,2+1 VIP,"1,5,8,12,24"
178,Bursa,Adana,49 TZK 462,5/5/2026,1187.87,2+2 Classic,"1,5,8,12,24"
179,Bursa,Bursa,16 PZL 801,9/26/2026,673.85,2+2 Classic,"1,5,8,12,24"
180,Ankara,Ankara,88 WGZ 094,5/18/2026,960.86,2+1 VIP,"1,5,8,12,24"
181,Konya,Ankara,28 EBC 216,2/9/2026,1101.88,2+1 VIP,"1,5,8,12,24"
182,Izmir,Izmir,09 OEE 167,10/31/2026,443.2,2+2 Classic,"1,5,8,12,24"
183,Antalya,Izmir,32 FWU 324,1/25/2026,757.25,2+1 VIP,"1,5,8,12,24"
184,Diyarbakir,Mersin,14 SNX 405,6/2/2026,474.4,2+1 VIP,"1,5,8,12,24"
185,Bursa,Ankara,22 YTZ 287,5/12/2026,753.69,2+1 VIP,"1,5,8,12,24"
186,Antalya,Diyarbakir,71 BFS 340,8/24/2026,1133.04,2+2 Classic,"1,5,8,12,24"
187,Bursa,Mersin,26 NVI 190,9/27/2026,966.55,2+2 Classic,"1,5,8,12,24"
188,Istanbul,Gaziantep,02 MQA 271,10/24/2026,704.67,2+1 VIP,"1,5,8,12,24"
189,Mersin,Konya,94 LJE 135,11/29/2026,564.83,2+2 Classic,"1,5,8,12,24"
190,Mersin,Bursa,49 MEJ 180,6/22/2026,961.58,2+2 Classic,"1,5,8,12,24"
191,Izmir,Gaziantep,86 TAX 199,2/24/2026,451.12,2+1 VIP,"1,5,8,12,24"
192,Ankara,Gaziantep,46 TGZ 023,3/9/2026,1197.79,2+2 Classic,"1,5,8,12,24"
193,Mersin,Diyarbakir,59 XWB 655,8/24/2026,1092.67,2+2 Classic,"1,5,8,12,24"
194,Bursa,Gaziantep,20 NWD 121,6/22/2026,1188.34,2+2 Classic,"1,5,8,12,24"
195,Izmir,Bursa,27 PCQ 533,6/29/2026,1039.55,2+1 VIP,"1,5,8,12,24"
196,Istanbul,Izmir,19 VVQ 144,3/6/2026,942.25,2+1 VIP,"1,5,8,12,24"
197,Ankara,Izmir,06 MGE 553,11/14/2026,1145.95,2+1 VIP,"1,5,8,12,24"
198,Diyarbakir,Gaziantep,79 ZOX 728,9/12/2026,588.33,2+1 VIP,"1,5,8,12,24"
199,Bursa,Adana,05 XMF 540,1/5/2026,1044.31,2+2 Classic,"1,5,8,12,24"
200,Diyarbakir,Bursa,12 EZU 017,2/3/2026,1161.39,2+2 Classic,"1,5,8,12,24"
201,Ankara,Mersin,27 VEO 759,6/29/2026,1197.87,2+1 VIP,"1,5,8,12,24"
202,Izmir,Adana,87 EYX 831,9/20/2026,998.47,2+2 Classic,"1,5,8,12,24"
203,Mersin,Adana,38 JZM 293,11/7/2026,991.64,2+2 Classic,"1,5,8,12,24"
204,Antalya,Ankara,98 KRN 007,7/27/2026,468.31,2+2 Classic,"1,5,8,12,24"
205,Adana,Izmir,53 ERK 436,7/11/2026,1063.68,2+2 Classic,"1,5,8,12,24"
206,Izmir,Mersin,38 BKY 073,9/30/2026,495.67,2+1 VIP,"1,5,8,12,24"
207,Gaziantep,Istanbul,39 BWJ 989,9/17/2026,871.37,2+1 VIP,"1,5,8,12,24"
208,Diyarbakir,Gaziantep,00 ZVY 656,5/20/2026,570.01,2+1 VIP,"1,5,8,12,24"
209,Istanbul,Bursa,08 WZR 874,1/10/2026,1081.18,2+1 VIP,"1,5,8,12,24"
210,Konya,Ankara,95 OFA 354,12/2/2026,856.35,2+1 VIP,"1,5,8,12,24"
211,Mersin,Istanbul,32 EIG 274,9/8/2026,746.33,2+2 Classic,"1,5,8,12,24"
212,Diyarbakir,Istanbul,58 OGB 452,7/23/2026,846.66,2+2 Classic,"1,5,8,12,24"
213,Konya,Ankara,50 AGK 478,7/10/2026,512.36,2+2 Classic,"1,5,8,12,24"
214,Izmir,Antalya,06 QPO 991,12/5/2026,401.84,2+1 VIP,"1,5,8,12,24"
215,Istanbul,Izmir,91 BFJ 812,1/21/2026,697.69,2+2 Classic,"1,5,8,12,24"
216,Bursa,Mersin,28 ZYE 109,12/27/2026,735.82,2+2 Classic,"1,5,8,12,24"
217,Bursa,Gaziantep,84 HHW 977,4/26/2026,1054.07,2+1 VIP,"1,5,8,12,24"
218,Bursa,Istanbul,55 JQW 172,10/31/2026,1103.96,2+2 Classic,"1,5,8,12,24"
219,Diyarbakir,Mersin,57 CEF 918,3/5/2026,526.32,2+2 Classic,"1,5,8,12,24"
220,Diyarbakir,Ankara,28 HWW 308,9/6/2026,873.53,2+2 Classic,"1,5,8,12,24"
221,Antalya,Istanbul,31 TMJ 949,11/17/2026,1052.97,2+1 VIP,"1,5,8,12,24"
222,Adana,Mersin,12 RBY 355,5/6/2026,912.55,2+2 Classic,"1,5,8,12,24"
223,Mersin,Mersin,02 KFN 707,1/4/2026,1168.92,2+2 Classic,"1,5,8,12,24"
224,Istanbul,Antalya,73 EQX 081,7/5/2026,508.78,2+1 VIP,"1,5,8,12,24"
225,Ankara,Konya,43 OLN 598,4/24/2026,549.06,2+2 Classic,"1,5,8,12,24"
226,Diyarbakir,Adana,56 OGQ 745,6/14/2026,538.74,2+2 Classic,"1,5,8,12,24"
227,Istanbul,Istanbul,10 PIS 992,6/12/2026,989.39,2+1 VIP,"1,5,8,12,24"
228,Adana,Adana,19 EBH 123,10/15/2026,432.05,2+1 VIP,"1,5,8,12,24"
229,Konya,Ankara,32 PXQ 555,7/16/2026,508.64,2+2 Classic,"1,5,8,12,24"
230,Istanbul,Bursa,56 BZT 614,12/12/2026,485.13,2+2 Classic,"1,5,8,12,24"
231,Izmir,Bursa,90 GWP 588,2/25/2026,1150.56,2+2 Classic,"1,5,8,12,24"
232,Mersin,Diyarbakir,76 QPV 545,3/5/2026,543.33,2+1 VIP,"1,5,8,12,24"
233,Bursa,Diyarbakir,00 XOX 347,12/20/2026,1018.98,2+1 VIP,"1,5,8,12,24"
234,Antalya,Izmir,62 DKG 061,9/1/2026,1199.78,2+2 Classic,"1,5,8,12,24"
235,Konya,Diyarbakir,44 RNZ 633,2/26/2026,715.99,2+2 Classic,"1,5,8,12,24"
236,Mersin,Izmir,51 BLS 307,3/12/2026,465.05,2+2 Classic,"1,5,8,12,24"
237,Diyarbakir,Bursa,52 TVQ 145,12/9/2026,447.66,2+2 Classic,"1,5,8,12,24"
238,Istanbul,Bursa,27 TWN 442,3/13/2026,760.26,2+2 Classic,"1,5,8,12,24"
239,Bursa,Antalya,20 QTM 382,5/14/2026,499.46,2+1 VIP,"1,5,8,12,24"
240,Antalya,Istanbul,90 PXA 682,1/25/2026,1004.8,2+2 Classic,"1,5,8,12,24"
241,Bursa,Konya,68 LOH 030,7/17/2026,841.43,2+1 VIP,"1,5,8,12,24"
242,Mersin,Ankara,24 CIT 047,7/21/2026,1050.34,2+1 VIP,"1,5,8,12,24"
243,Adana,Adana,74 FBH 570,5/4/2026,1031.99,2+2 Classic,"1,5,8,12,24"
244,Istanbul,Gaziantep,86 RXC 751,5/31/2026,724.81,2+1 VIP,"1,5,8,12,24"
245,Istanbul,Gaziantep,71 ZPU 637,7/9/2026,541.26,2+1 VIP,"1,5,8,12,24"
246,Bursa,Antalya,99 INY 642,3/20/2026,699.73,2+2 Classic,"1,5,8,12,24"
247,Istanbul,Mersin,18 YJB 129,9/10/2026,573.22,2+1 VIP,"1,5,8,12,24"
248,Diyarbakir,Gaziantep,75 PFX 683,2/12/2026,458.89,2+2 Classic,"1,5,8,12,24"
249,Bursa,Gaziantep,63 VLA 592,1/26/2026,805.81,2+2 Classic,"1,5,8,12,24"
250,Adana,Istanbul,45 VDL 281,6/14/2026,748.17,2+1 VIP,"1,5,8,12,24"
251,Adana,Konya,47 DTE 551,2/23/2026,1024.19,2+1 VIP,"1,5,8,12,24"
252,Gaziantep,Istanbul,34 RLQ 178,3/6/2026,1067.55,2+2 Classic,"1,5,8,12,24"
253,Antalya,Ankara,29 DDO 963,5/4/2026,603.5,2+2 Classic,"1,5,8,12,24"
254,Gaziantep,Izmir,59 OIA 919,12/15/2026,986.51,2+2 Classic,"1,5,8,12,24"
255,Istanbul,Bursa,03 NBB 058,3/19/2026,742.91,2+2 Classic,"1,5,8,12,24"
256,Izmir,Gaziantep,27 KBR 031,4/13/2026,621.79,2+1 VIP,"1,5,8,12,24"
257,Diyarbakir,Adana,31 SQV 333,4/10/2026,812.54,2+1 VIP,"1,5,8,12,24"
258,Gaziantep,Diyarbakir,84 OBP 499,6/23/2026,620.88,2+1 VIP,"1,5,8,12,24"
259,Mersin,Bursa,28 RRK 705,6/13/2026,1082.85,2+2 Classic,"1,5,8,12,24"
260,Antalya,Mersin,36 MON 722,8/21/2026,780.18,2+2 Classic,"1,5,8,12,24"
261,Bursa,Gaziantep,00 BSH 454,4/5/2026,483.8,2+2 Classic,"1,5,8,12,24"
262,Izmir,Mersin,95 DXX 018,2/24/2026,1179.12,2+2 Classic,"1,5,8,12,24"
263,Antalya,Ankara,98 KJV 142,1/18/2026,722.97,2+2 Classic,"1,5,8,12,24"
264,Antalya,Diyarbakir,39 JGK 420,1/3/2026,504.49,2+1 VIP,"1,5,8,12,24"
265,Izmir,Izmir,22 DPF 158,6/17/2026,587.52,2+2 Classic,"1,5,8,12,24"
266,Istanbul,Adana,38 JSO 321,2/28/2026,682.33,2+1 VIP,"1,5,8,12,24"
267,Gaziantep,Konya,93 KXA 491,1/27/2026,831.06,2+1 VIP,"1,5,8,12,24"
